,id,n_tokens,n_axes,show_shadow,n_bananas,n_scorpions,response_time_sender,response_time_interpreter,signal,world,opened
287,5646,1,1,0,1,2,2521,5043,"1, 0, 0","1, 0, 0","1, 0, 0"
290,5647,1,1,0,2,1,1952,3000,"0, 1, 0","0, 1, 1","0, 1, 0"
358,5648,1,1,1,2,1,10092,6045,"1, 0, 0","1, 0, 1","0, 1, 0"
243,5649,1,2,1,2,1,7620,6195,"0, 0, 1","1, 1, 0","1, 1, 0"
90,5650,1,2,0,1,2,12372,10117,"0, 0, 1","0, 0, 1","1, 1, 0"
238,5651,1,1,0,2,1,5687,5932,"0, 1, 0","0, 1, 1","0, 1, 0"
236,5652,2,2,1,1,2,5372,15613,"1, 0, 0","1, 0, 0","1, 0, 0"
770,5653,1,2,1,1,2,3149,10488,"0, 1, 0","0, 1, 0","0, 1, 0"
240,5654,2,2,1,2,1,5176,13529,"1, 1, 0","1, 1, 0","1, 1, 0"
239,5655,1,1,0,1,2,3489,3242,"0, 0, 1","0, 0, 1","0, 0, 1"
235,5656,2,1,0,1,2,6418,8777,"0, 1, 1","1, 0, 0","0, 0, 1"
588,5657,1,1,1,1,2,4029,5342,"0, 0, 1","0, 0, 1","0, 0, 1"
894,5658,2,1,0,2,1,8437,10114,"1, 1, 0","1, 1, 0","1, 0, 0"
237,5659,2,2,0,1,2,3511,5054,"0, 1, 0","0, 1, 0","0, 1, 0"
895,5660,1,2,0,2,1,4341,3910,"1, 0, 0","0, 1, 1","1, 0, 0"
241,5661,2,1,1,2,1,4490,5076,"0, 0, 1","1, 0, 1","0, 0, 1"
947,5662,2,2,0,2,1,5104,11537,"0, 1, 1","0, 1, 1","0, 1, 1"
620,5663,2,1,1,1,2,3068,3825,"1, 0, 0","1, 0, 0","1, 0, 0"
267,5664,1,2,1,2,1,3981,4643,"0, 0, 1","1, 1, 0","0, 0, 1"
268,5665,1,1,0,2,1,3280,3272,"0, 0, 1","0, 1, 1","0, 0, 1"
269,5666,1,2,1,1,2,3206,4111,"1, 0, 0","1, 0, 0","1, 0, 0"
856,5667,1,1,0,1,2,3108,1915,"1, 0, 0","1, 0, 0","1, 0, 0"
135,5668,1,1,1,1,2,3672,3835,"1, 0, 0","1, 0, 0","1, 0, 0"
857,5669,2,2,0,1,2,5229,3269,"0, 1, 0","0, 1, 0","0, 1, 0"
854,5670,2,1,1,2,1,3090,4058,"0, 0, 1","1, 0, 1","0, 0, 1"
627,5671,2,1,1,1,2,4400,3886,"0, 0, 1","0, 0, 1","0, 0, 1"
860,5672,1,1,1,2,1,3937,3036,"0, 0, 1","1, 0, 1","0, 0, 1"
855,5673,1,2,0,1,2,3852,6741,"0, 1, 0","0, 1, 0","0, 1, 0"
266,5674,2,2,1,1,2,4070,4439,"1, 0, 0","1, 0, 0","1, 0, 0"
674,5675,2,2,1,2,1,4450,6962,"1, 1, 0","1, 1, 0","1, 1, 0"
924,5676,2,1,0,1,2,6030,6959,"0, 0, 1","0, 0, 1","0, 0, 1"
271,5677,2,1,0,2,1,2713,3228,"1, 0, 0","1, 0, 1","1, 0, 0"
806,5678,1,2,0,2,1,4698,2705,"0, 1, 0","1, 0, 1","0, 1, 0"
265,5679,2,2,0,2,1,5130,8692,"1, 0, 1","1, 0, 1","1, 0, 1"
277,5680,2,2,0,1,2,2925,4305,"0, 1, 0","0, 1, 0","0, 1, 0"
138,5681,2,2,1,2,1,6920,11442,"1, 1, 0","1, 1, 0","1, 1, 0"
278,5682,1,2,1,2,1,3166,6633,"1, 0, 0","1, 0, 1","1, 0, 0"
283,5683,2,1,1,2,1,4755,3063,"0, 1, 0","1, 1, 0","0, 1, 0"
274,5684,2,1,0,1,2,4931,3756,"0, 0, 1","0, 0, 1","0, 0, 1"
141,5685,1,1,0,2,1,2963,3553,"1, 0, 0","1, 0, 1","1, 0, 0"
275,5686,2,1,1,1,2,3429,2340,"1, 0, 0","1, 0, 0","1, 0, 0"
270,5687,2,1,0,2,1,4477,6019,"1, 0, 1","1, 0, 1","0, 1, 0"
681,5688,1,2,1,1,2,3711,2165,"0, 0, 1","0, 0, 1","0, 0, 1"
280,5689,1,1,1,2,1,3690,5939,"0, 0, 1","0, 1, 1","0, 0, 1"
276,5690,1,2,0,2,1,4262,3390,"0, 1, 0","1, 0, 1","0, 1, 0"
284,5691,1,1,0,1,2,3833,3935,"0, 0, 1","0, 0, 1","0, 0, 1"
691,5692,1,2,0,1,2,17558,5039,"0, 1, 0","0, 1, 0","0, 1, 0"
264,5693,2,2,0,2,1,5343,10322,"0, 1, 1","0, 1, 1","0, 1, 1"
315,5694,1,1,1,1,2,4306,2769,"1, 0, 0","1, 0, 0","1, 0, 0"
314,5695,2,2,1,1,2,18658,2653,"0, 1, 0","0, 1, 0","0, 1, 0"
844,5696,2,1,0,1,2,2737,5078,"0, 0, 1","0, 0, 1","0, 0, 1"
322,5697,1,1,1,2,1,12819,4949,"0, 0, 1","1, 0, 1","0, 0, 1"
321,5698,1,1,1,1,2,3245,1723,"1, 0, 0","1, 0, 0","1, 0, 0"
316,5699,1,2,1,2,1,4809,1949,"0, 1, 0","1, 0, 1","0, 1, 0"
846,5700,2,1,0,2,1,4948,5615,"1, 0, 0","1, 0, 1","1, 0, 0"
319,5701,1,2,0,1,2,5616,3510,"0, 1, 0","0, 1, 0","0, 1, 0"
174,5702,2,2,0,1,2,6359,3685,"0, 0, 1","0, 0, 1","0, 0, 1"
286,5703,1,1,0,2,1,4327,2031,"1, 0, 0","1, 0, 1","1, 0, 0"
350,5704,1,2,0,2,1,3059,6195,"1, 0, 0","1, 1, 0","1, 0, 0"
1000,5705,2,2,1,1,2,3708,4023,"1, 0, 0","1, 0, 0","1, 0, 0"
281,5706,2,1,1,2,1,6625,3403,"0, 1, 1","0, 1, 1","0, 1, 0"
85,5707,1,2,1,1,2,5360,8695,"0, 0, 1","0, 0, 1","0, 0, 1"
718,5708,2,2,0,2,1,4613,6042,"1, 1, 0","1, 1, 0","1, 1, 0"
289,5709,2,2,1,2,1,4446,5025,"1, 0, 1","1, 0, 1","1, 0, 1"
47,5710,2,1,1,1,2,4469,3673,"0, 1, 1","1, 0, 0","1, 0, 0"
865,5711,1,1,0,1,2,12015,3810,"0, 1, 0","0, 1, 0","0, 1, 0"
942,5712,2,2,0,2,1,11142,4100,"1, 1, 0","1, 1, 0","1, 1, 0"
32,5713,1,2,0,2,1,68347,3268,"1, 0, 0","1, 0, 1","1, 0, 0"
123,5714,2,1,0,2,1,28827,5912,"0, 1, 1","0, 1, 1","0, 0, 1"
295,5715,2,1,0,1,2,4993,6122,"0, 0, 1","0, 0, 1","0, 0, 1"
963,5716,2,2,1,2,1,5828,6483,"1, 0, 1","1, 0, 1","1, 0, 1"
931,5717,2,2,1,1,2,4222,6810,"0, 1, 0","0, 1, 0","0, 1, 0"
851,5718,1,2,0,1,2,4912,7950,"1, 0, 0","1, 0, 0","1, 0, 0"
852,5719,1,1,1,2,1,16365,3295,"1, 0, 0","1, 0, 1","1, 0, 0"
923,5720,2,1,1,1,2,8221,5788,"1, 0, 0","1, 0, 0","1, 0, 0"
884,5721,2,1,1,2,1,5650,11517,"1, 1, 0","1, 1, 0","1, 0, 0"
297,5722,2,2,0,1,2,3504,6942,"0, 1, 0","0, 1, 0","0, 1, 0"
298,5723,1,1,1,1,2,6049,3601,"1, 0, 0","1, 0, 0","1, 0, 0"
888,5724,1,1,0,1,2,4685,15373,"0, 1, 0","0, 1, 0","0, 1, 0"
651,5725,1,2,1,1,2,3642,11981,"0, 0, 1","0, 0, 1","0, 0, 1"
294,5726,1,1,0,2,1,3330,5599,"1, 0, 0","1, 1, 0","1, 0, 0"
296,5727,1,2,1,2,1,32810,5592,"0, 1, 0","1, 0, 1","0, 1, 1"
306,5728,1,2,0,2,1,5168,1797,"1, 0, 0","1, 0, 1","1, 0, 0"
686,5729,2,1,0,1,2,3941,5868,"0, 1, 0","0, 1, 0","0, 1, 0"
958,5730,2,2,1,1,2,3022,5138,"0, 1, 0","0, 1, 0","0, 1, 0"
302,5731,1,1,1,2,1,3813,8221,"0, 0, 1","1, 1, 0","0, 0, 1"
299,5732,2,1,1,2,1,5530,3396,"1, 0, 1","1, 0, 1","1, 0, 0"
628,5733,1,1,1,1,2,4873,3240,"0, 0, 1","0, 0, 1","0, 0, 1"
307,5734,1,2,1,1,2,2626,2619,"0, 1, 0","0, 1, 0","0, 1, 0"
305,5735,1,2,1,2,1,4950,8969,"0, 1, 0","1, 0, 1","1, 0, 1"
293,5736,2,2,0,2,1,7567,5346,"1, 0, 1","1, 0, 1","1, 0, 1"
771,5737,2,1,0,2,1,10731,8704,"1, 0, 1","1, 0, 1","1, 0, 0"
300,5738,2,2,1,2,1,5186,7027,"1, 1, 0","1, 1, 0","1, 1, 0"
304,5739,1,2,0,1,2,3674,3706,"0, 1, 0","0, 1, 0","0, 1, 0"
136,5740,2,1,1,1,2,9130,5784,"0, 0, 1","0, 0, 1","0, 0, 1"
310,5741,2,2,0,1,2,4675,6266,"0, 0, 1","0, 0, 1","0, 0, 1"
303,5742,1,1,0,1,2,3123,4631,"0, 1, 0","0, 1, 0","0, 1, 0"
309,5743,1,1,0,2,1,2609,5288,"0, 0, 1","1, 0, 1","0, 0, 1"
952,5744,1,1,1,1,2,4407,3141,"0, 1, 0","0, 1, 0","0, 1, 0"
313,5745,1,2,0,1,2,3237,4918,"1, 0, 0","1, 0, 0","1, 0, 0"
301,5746,1,2,0,2,1,3619,5949,"0, 1, 0","0, 1, 1","0, 1, 0"
308,5747,1,2,1,1,2,3849,4882,"0, 1, 0","0, 1, 0","0, 1, 0"
692,5748,2,1,1,1,2,5215,2471,"0, 1, 0","0, 1, 0","0, 1, 0"
929,5749,2,1,0,1,2,2735,6510,"0, 0, 1","0, 0, 1","0, 0, 1"
318,5750,1,2,1,2,1,3516,5923,"0, 1, 0","1, 0, 1","1, 0, 1"
317,5751,2,2,0,1,2,3312,5667,"0, 1, 0","0, 1, 0","0, 1, 0"
830,5752,2,2,1,1,2,3534,9827,"0, 1, 0","0, 1, 0","0, 1, 0"
992,5753,2,2,0,2,1,6844,5460,"1, 1, 0","1, 1, 0","1, 1, 0"
344,5754,1,1,0,1,2,3149,5036,"0, 0, 1","0, 0, 1","0, 0, 1"
343,5755,1,1,1,2,1,3063,2972,"0, 0, 1","1, 1, 0","0, 0, 1"
826,5756,2,1,0,2,1,13910,3276,"0, 1, 0","1, 1, 0","0, 1, 0"
342,5757,1,1,0,2,1,3172,2376,"1, 0, 0","1, 0, 1","1, 0, 0"
311,5758,2,1,1,2,1,24172,4375,"1, 1, 0","1, 1, 0","1, 0, 0"
480,5759,2,2,1,2,1,5617,6458,"1, 0, 1","1, 0, 1","1, 0, 1"
346,5760,2,2,1,1,2,3026,7395,"0, 1, 0","0, 1, 0","0, 1, 0"
54,5761,1,1,1,1,2,3211,2507,"1, 0, 0","1, 0, 0","1, 0, 0"
869,5762,2,2,0,2,1,5831,5488,"0, 1, 1","0, 1, 1","0, 1, 1"
873,5763,1,2,0,1,2,6709,11708,"0, 1, 0","0, 1, 0","0, 1, 0"
864,5764,1,1,0,1,2,3390,3101,"0, 1, 0","0, 1, 0","0, 1, 0"
143,5765,1,2,0,2,1,6223,5318,"1, 0, 0","1, 0, 1","1, 0, 0"
867,5766,1,1,1,2,1,28860,5771,"0, 1, 0","1, 1, 0","1, 0, 0"
876,5767,1,2,1,1,2,3001,6215,"0, 1, 0","0, 1, 0","0, 1, 0"
349,5768,2,1,0,2,1,3941,2288,"0, 0, 1","0, 1, 1","0, 0, 1"
114,5769,2,1,1,1,2,2842,8930,"1, 0, 0","1, 0, 0","1, 0, 0"
347,5770,1,1,0,2,1,3228,3145,"0, 0, 1","1, 0, 1","0, 0, 1"
345,5771,2,1,0,1,2,2848,2608,"0, 1, 0","0, 1, 0","0, 1, 0"
351,5772,2,1,1,2,1,9037,3453,"0, 1, 1","0, 1, 1","0, 0, 1"
642,5773,1,2,1,2,1,6122,10041,"1, 0, 0","0, 1, 1","0, 1, 1"
348,5774,2,2,1,2,1,8283,4548,"1, 0, 1","1, 0, 1","1, 0, 1"
868,5775,2,2,0,1,2,2942,3004,"1, 0, 0","1, 0, 0","1, 0, 0"
59,5776,2,2,1,1,2,4466,4875,"0, 1, 0","0, 1, 0","0, 1, 0"
899,5777,1,1,1,1,2,3373,3940,"1, 0, 0","1, 0, 0","1, 0, 0"
935,5778,2,2,0,2,1,5004,13576,"0, 1, 1","0, 1, 1","0, 1, 1"
326,5779,1,2,0,1,2,3039,4156,"1, 0, 0","1, 0, 0","1, 0, 0"
742,5780,1,1,0,1,2,3119,4476,"0, 1, 0","0, 1, 0","0, 1, 0"
333,5781,1,2,0,2,1,30839,3783,"0, 1, 0","0, 1, 1","0, 1, 0"
324,5782,1,1,1,2,1,17712,11935,"0, 1, 0","0, 1, 1","0, 1, 0"
331,5783,1,2,1,1,2,2938,3793,"0, 0, 1","0, 0, 1","0, 0, 1"
126,5784,2,1,0,2,1,5534,3766,"0, 1, 1","0, 1, 1","0, 0, 1"
327,5785,2,1,1,1,2,3858,3629,"1, 0, 0","1, 0, 0","1, 0, 0"
323,5786,1,1,0,2,1,4135,5798,"1, 0, 0","1, 0, 1","1, 0, 0"
986,5787,2,1,0,1,2,2699,8846,"1, 0, 0","1, 0, 0","1, 0, 0"
325,5788,2,1,1,2,1,5283,4229,"0, 1, 1","0, 1, 1","0, 0, 1"
893,5789,1,2,1,2,1,5772,9861,"1, 0, 0","1, 1, 0","1, 0, 0"
328,5790,2,2,1,2,1,4838,5504,"1, 0, 1","1, 0, 1","1, 0, 1"
948,5791,2,2,0,1,2,3225,7645,"1, 0, 0","1, 0, 0","1, 0, 0"
332,5792,1,1,1,1,2,3152,2833,"1, 0, 0","1, 0, 0","1, 0, 0"
337,5793,1,2,0,1,2,2900,5683,"1, 0, 0","1, 0, 0","1, 0, 0"
334,5794,1,2,0,2,1,3535,2778,"0, 1, 0","0, 1, 1","0, 1, 0"
630,5795,1,2,1,1,2,4436,2996,"1, 0, 0","1, 0, 0","1, 0, 0"
341,5796,2,1,1,1,2,2660,4040,"0, 1, 0","0, 1, 0","0, 1, 0"
335,5797,2,1,0,1,2,3464,3334,"1, 0, 0","1, 0, 0","1, 0, 0"
336,5798,1,2,1,2,1,2880,5886,"0, 1, 0","0, 1, 1","1, 0, 1"
988,5799,2,2,0,1,2,2894,4658,"0, 1, 0","0, 1, 0","0, 1, 0"
340,5800,2,2,1,1,2,2669,3545,"0, 1, 0","0, 1, 0","0, 1, 0"
338,5801,2,2,0,2,1,4469,5392,"1, 0, 1","1, 0, 1","1, 0, 1"
767,5802,1,1,0,1,2,3223,2997,"1, 0, 0","1, 0, 0","1, 0, 0"
339,5803,1,1,1,2,1,3280,4173,"0, 1, 0","0, 1, 1","1, 0, 0"
384,5804,2,1,0,2,1,4905,3883,"1, 0, 1","1, 0, 1","1, 0, 0"
391,5805,1,1,0,2,1,3264,3568,"0, 1, 0","1, 1, 0","0, 1, 0"
599,5806,2,1,1,2,1,2941,4321,"0, 0, 1","0, 1, 1","0, 0, 1"
390,5807,2,2,1,2,1,4908,6266,"1, 1, 0","1, 1, 0","1, 1, 0"
402,5808,2,1,1,1,2,2780,3960,"0, 1, 0","0, 1, 0","0, 1, 0"
664,5809,2,2,0,2,1,4821,4470,"1, 0, 1","1, 0, 1","1, 0, 1"
400,5810,2,1,1,2,1,3213,3623,"0, 0, 1","0, 1, 1","1, 0, 0"
397,5811,1,2,0,2,1,3352,2606,"1, 0, 0","1, 1, 0","1, 0, 0"
393,5812,2,2,0,1,2,2758,5460,"0, 1, 0","0, 1, 0","0, 1, 0"
635,5813,2,1,0,2,1,2883,3436,"1, 0, 0","1, 1, 0","1, 0, 0"
396,5814,1,1,1,1,2,2522,3876,"0, 1, 0","0, 1, 0","0, 1, 0"
399,5815,2,1,0,1,2,3116,4544,"0, 0, 1","0, 0, 1","0, 0, 1"
398,5816,1,1,0,1,2,2962,3065,"0, 1, 0","0, 1, 0","0, 1, 0"
693,5817,2,2,1,2,1,4494,3510,"0, 1, 1","0, 1, 1","0, 1, 1"
940,5818,1,2,1,1,2,3013,4379,"0, 0, 1","0, 0, 1","0, 0, 0"
994,5819,2,2,1,1,2,3410,3107,"1, 0, 0","1, 0, 0","1, 0, 0"
401,5820,1,1,0,2,1,2749,1887,"0, 1, 0","0, 1, 1","0, 1, 0"
688,5821,1,2,0,1,2,2439,1970,"0, 1, 0","0, 1, 0","0, 1, 0"
404,5822,1,2,1,2,1,2739,2401,"1, 0, 0","1, 0, 1","1, 0, 0"
405,5823,1,1,1,2,1,2442,4200,"0, 0, 1","0, 1, 1","0, 0, 0"
834,5824,2,1,1,2,1,2865,3424,"1, 0, 0","1, 1, 0","1, 0, 0"
410,5825,2,1,0,2,1,3184,4670,"0, 0, 1","0, 1, 1","0, 0, 1"
407,5826,1,1,0,1,2,2492,3360,"1, 0, 0","1, 0, 0","1, 0, 0"
406,5827,2,2,1,1,2,3111,2983,"1, 0, 0","1, 0, 0","1, 0, 0"
843,5828,1,2,1,2,1,3799,5629,"1, 0, 0","1, 0, 1","0, 1, 1"
1014,5829,2,1,1,1,2,2573,3860,"0, 0, 1","0, 0, 1","0, 0, 1"
409,5830,1,2,0,2,1,2792,2070,"1, 0, 0","1, 0, 1","1, 0, 0"
863,5831,1,1,1,1,2,2208,3185,"0, 0, 1","0, 0, 1","0, 0, 1"
842,5832,2,2,1,2,1,4107,11515,"1, 0, 1","1, 0, 1","1, 0, 1"
403,5833,1,1,0,2,1,5334,6828,"0, 1, 0","0, 1, 1","0, 1, 0"
875,5834,1,1,1,2,1,3535,3445,"1, 0, 0","1, 1, 0","1, 0, 0"
1008,5835,2,2,0,2,1,4726,4316,"0, 1, 1","0, 1, 1","0, 1, 1"
553,5836,2,2,0,1,2,2838,3120,"0, 0, 1","0, 0, 1","0, 0, 1"
411,5837,2,1,0,1,2,2953,8358,"0, 1, 0","0, 1, 0","0, 1, 0"
408,5838,1,2,1,1,2,2702,5990,"1, 0, 0","1, 0, 0","0, 0, 0"
525,5839,1,2,0,1,2,2371,2754,"0, 1, 0","0, 1, 0","0, 1, 0"
476,5840,1,1,0,2,1,56396,2691,"1, 0, 0","1, 0, 1","1, 0, 0"
386,5841,1,1,0,1,2,5010,5022,"0, 0, 1","0, 0, 1","0, 0, 1"
94,5842,2,2,0,1,2,51071,8856,"1, 1, 0","0, 0, 1","1, 1, 0"
385,5843,2,1,1,1,2,13140,3479,"1, 0, 1","0, 1, 0","0, 1, 0"
900,5844,1,2,0,1,2,42441,14700,"0, 0, 1","0, 1, 0","0, 0, 1"
650,5845,2,2,1,2,1,15791,5601,"1, 1, 0","1, 1, 0","1, 1, 0"
387,5846,2,1,0,2,1,20141,3985,"0, 1, 1","1, 0, 1","0, 1, 0"
941,5847,2,2,0,2,1,18281,15022,"1, 0, 1","1, 0, 1","1, 0, 1"
383,5848,1,2,1,2,1,5798,8664,"0, 1, 0","1, 0, 1","0, 1, 0"
703,5849,1,2,1,1,2,4325,3851,"1, 0, 0","1, 0, 0","1, 0, 0"
622,5850,1,1,1,1,2,2963,8396,"0, 0, 1","0, 0, 1","0, 0, 1"
652,5851,2,1,1,2,1,9693,2560,"0, 1, 1","0, 1, 1","0, 1, 0"
413,5852,1,1,1,2,1,13781,9246,"0, 1, 0","1, 0, 1","1, 0, 0"
977,5853,2,2,1,1,2,6700,6078,"0, 1, 1","1, 0, 0","1, 0, 0"
890,5854,2,1,0,1,2,5902,13838,"1, 0, 1","0, 1, 0","1, 0, 0"
645,5855,1,2,0,2,1,11571,6002,"0, 1, 0","0, 1, 1","0, 1, 0"
417,5856,1,1,0,1,2,4450,3650,"1, 0, 0","1, 0, 0","1, 0, 0"
956,5857,2,1,1,1,2,8517,9052,"1, 1, 0","0, 0, 1","0, 0, 1"
779,5858,2,2,1,2,1,6462,2944,"0, 1, 1","0, 1, 1","0, 1, 1"
412,5859,2,2,0,2,1,2776,8097,"0, 1, 1","0, 1, 1","0, 1, 1"
418,5860,1,2,1,1,2,5025,6250,"1, 0, 0","1, 0, 0","1, 0, 0"
675,5861,2,1,1,2,1,5145,3597,"1, 1, 0","1, 1, 0","1, 0, 0"
415,5862,2,2,1,1,2,5963,5320,"1, 1, 0","0, 0, 1","0, 0, 1"
414,5863,1,2,0,2,1,5512,4171,"1, 0, 0","0, 1, 1","1, 0, 0"
420,5864,1,1,0,2,1,5067,4535,"0, 0, 1","1, 0, 1","0, 0, 1"
679,5865,2,2,0,1,2,6983,7942,"0, 1, 1","0, 0, 1","0, 1, 1"
416,5866,1,2,0,1,2,5585,3726,"0, 0, 1","0, 0, 1","0, 0, 1"
424,5867,2,1,0,2,1,7346,3315,"1, 0, 0","1, 1, 0","1, 0, 0"
422,5868,1,2,1,2,1,4187,9511,"0, 0, 1","1, 1, 0","1, 0, 1"
680,5869,1,1,1,1,2,2215,2592,"1, 0, 0","1, 0, 0","1, 0, 0"
421,5870,1,1,1,2,1,5316,3192,"1, 0, 0","0, 1, 1","1, 0, 0"
423,5871,2,1,0,1,2,5344,5610,"1, 0, 0","1, 0, 0","1, 0, 0"
433,5872,2,1,0,2,1,18327,3690,"1, 0, 0","1, 1, 0","1, 0, 0"
824,5873,2,2,1,1,2,9269,3751,"1, 0, 1","0, 1, 0","0, 1, 0"
427,5874,2,1,1,1,2,2790,6463,"1, 1, 0","0, 0, 1","0, 0, 1"
419,5875,1,1,1,1,2,1567,3313,"0, 0, 1","0, 0, 1","0, 0, 1"
429,5876,1,1,0,2,1,4431,3239,"0, 0, 1","1, 0, 1","0, 0, 1"
859,5877,2,2,0,2,1,16991,7025,"1, 1, 0","1, 1, 0","1, 1, 0"
432,5878,2,1,0,1,2,5287,7608,"1, 0, 0","1, 0, 0","1, 0, 0"
312,5879,1,2,0,1,2,18351,8567,"0, 0, 0","0, 1, 0","0, 0, 1"
518,5880,2,1,1,2,1,8962,8265,"0, 0, 1","1, 0, 1","1, 0, 0"
434,5881,1,1,0,1,2,2048,4691,"0, 0, 1","0, 0, 1","0, 0, 1"
945,5882,1,2,1,2,1,4863,2839,"1, 0, 0","0, 1, 1","0, 1, 1"
439,5883,1,2,0,2,1,2589,7026,"1, 0, 0","0, 1, 1","0, 1, 1"
431,5884,2,2,1,2,1,2718,3731,"1, 0, 1","1, 0, 1","1, 0, 1"
756,5885,1,1,1,2,1,10712,2769,"0, 0, 1","1, 1, 0","0, 1, 0"
140,5886,2,2,0,1,2,14689,5787,"0, 1, 0","0, 1, 0","1, 0, 1"
425,5887,1,2,1,1,2,5163,3058,"0, 1, 0","0, 1, 0","0, 1, 0"
440,5888,1,1,1,2,1,5251,3127,"0, 1, 0","0, 1, 1","1, 0, 0"
53,5889,1,2,1,2,1,4585,3571,"1, 0, 0","1, 0, 1","1, 0, 0"
465,5890,1,2,0,1,2,15122,4584,"0, 1, 0","0, 1, 0","0, 1, 0"
468,5891,1,1,0,2,1,1853,3167,"1, 0, 0","1, 0, 1","1, 0, 0"
113,5892,2,2,1,1,2,8564,4195,"0, 0, 1","0, 0, 1","0, 0, 1"
464,5893,1,2,1,1,2,2791,2547,"0, 0, 1","0, 0, 1","0, 0, 1"
1023,5894,2,2,1,2,1,8125,6030,"1, 0, 1","1, 0, 1","1, 0, 1"
849,5895,1,1,0,1,2,2853,6094,"0, 0, 1","0, 0, 1","0, 0, 1"
643,5896,2,1,0,1,2,4462,3045,"0, 1, 0","0, 1, 0","0, 1, 0"
352,5897,1,1,1,1,2,2140,4430,"0, 0, 1","0, 0, 1","0, 0, 1"
874,5898,2,1,0,2,1,2756,6473,"0, 0, 1","1, 0, 1","0, 0, 1"
861,5899,2,2,0,1,2,4811,2096,"0, 0, 1","0, 0, 1","0, 0, 1"
35,5900,1,2,0,2,1,5799,2286,"1, 0, 0","1, 1, 0","1, 0, 0"
467,5901,2,1,1,2,1,7443,3854,"1, 1, 0","1, 1, 0","1, 0, 0"
